model	tris	truth	truth_radii	mesh	built	recovered	status	s	backend
L01_cylinder	192	1	1	1	1	1	OK	3.9	feature
L01_cylinder_recon	228	1	1	1	1	1	OK	3.9	feature
L01_disk	236	1	1	1	1	1	OK	3.3	feature
L01_rod	100	1	1	1	1	1	OK	3.9	feature
L01_rod_recon	100	1	1	1	1	1	OK	2.9	feature
L02_blind_hole	140	1	1	2	1	1	OK	3.1	feature
L02_blind_hole_recon	228	1	1	1	1	1	OK	2.9	feature
L02_block_hole	144	1	1	1	1	1	OK	3.0	feature
L02_block_hole_recon	232	1	1	1	1	1	OK	2.8	feature
L02_counterbore	256	2	2	3	2	2	OK	2.8	feature
L02_counterbore_recon	232	1	1	1	1	1	OK	2.7	feature
L02_countersink	284	1	1	2	1	1	OK	3.3	feature
L02_cyl_bore	324	2	2	2	2	2	OK	2.8	feature
L02_cyl_side_hole	340	2	2	3	2	2	OK	4.0	feature
L02_cyl_side_hole_recon	224	1	1	1	1	1	OK	2.7	feature
L02_plate_slot	128	2	1	2	2	2	OK	2.8	feature
L02_pocket_recon	232	1	1	1	1	1	OK	2.9	feature
L02_thick_washer	360	2	2	2	2	2	OK	2.8	feature
L02_washer	356	2	2	2	2	2	OK	2.9	feature
L03_C_channel_recon	232	1	1	1	1	1	OK	2.7	feature
L03_U_channel_recon	232	1	1	1	1	1	OK	2.8	feature
L03_Z_profile_recon	224	1	1	1	1	1	OK	2.8	feature
L03_hex_prism_recon	224	1	1	1	1	1	OK	2.7	feature
L03_oct_prism_recon	224	1	1	1	1	1	OK	2.6	feature
L04_chamf_cyl	576	1	1	1	1	1	OK	4.0	feature
L04_chamf_cyl_recon	220	1	1	1	1	1	OK	2.8	feature
L04_cyl_bottom_chamf	438	1	1	1	1	1	OK	4.2	feature
L04_cyl_bottom_chamf_recon	224	1	1	1	1	1	OK	2.8	feature
L04_fillet_block	140	4	1	4	4	4	OK	2.8	feature
L04_fillet_block_recon	232	1	1	1	1	1	OK	2.6	feature
L04_mixed_edges	92	4	1	2	6	4	OK	15.7	native
L04_mixed_edges_recon	228	1	1	1	1	1	OK	2.6	feature
L04_pillow	1860	12	1	12	12	12	OK	7.4	feature
L04_pillow_recon	232	1	1	1	1	1	OK	2.7	feature
L04_puck	2400	1	1	0	4	0	OK	44.8	native
L04_soap_bar	1236	12	1	12	12	12	OK	5.9	feature
L04_soap_bar_recon	192	1	1	1	1	1	OK	2.5	feature
