model	patches	curved	plane	other	far	cyl_faces	spline_faces	backend	status	s
1	40	40	0	0	0	23	0	feature	OK	220.3
10	28	28	0	0	0	28	0	feature	OK	56.2
11	34	22	12	0	0	56	0	feature	OK	1716.1
12	30	25	5	0	0	55	0	feature	OK	122.6
13	15	15	0	0	0	15	0	feature	OK	44.2
14	76	76	0	0	0	71	0	feature	OK	212.8
15	3	3	0	0	0	3	0	feature	OK	30.0
16	8	0	8	0	0	0	0	native	OK	1029.1
17	50	50	0	0	0	46	0	feature	OK	619.1
18	4	4	0	0	0	4	0	feature	OK	230.4
19	17	0	17	0	0	0	0	native	OK	1592.5
2	6	6	0	0	0	5	0	feature	OK	36.0
20	27	27	0	0	0	14	0	feature	OK	1179.8
21	7	7	0	0	0	7	0	feature	OK	152.2
22	6	6	0	0	0	6	0	feature	OK	134.2
23	80	78	2	0	0	58	0	feature	OK	162.4
24	15	15	0	0	0	15	0	feature	OK	294.5
25	46	46	0	0	0	48	0	feature	OK	712.6
26	8	8	0	0	0	4	0	feature	OK	30.0
27	19	19	0	0	0	10	0	feature	OK	315.2
28	6	6	0	0	0	6	0	feature	OK	283.4
29	7	7	0	0	0	8	0	feature	OK	612.2
3	14	14	0	0	0	10	0	feature	OK	100.1
30	20	20	0	0	0	21	0	feature	OK	685.2
31	6	6	0	0	0	6	0	feature	OK	619.6
32	19	19	0	0	0	10	0	feature	OK	258.5
33	121	81	40	0	0	61	0	feature	OK	619.1
34	8	8	0	0	0	8	0	feature	OK	46.1
35	58	58	0	0	0	39	0	feature	OK	1152.3
36	31	29	2	0	0	147	0	feature	OK	1151.7
37	102	101	1	0	0	64	0	feature	OK	450.9
38	20	20	0	0	0	11	0	feature	OK	608.7
39	62	59	3	0	0	169	0	feature	OK	282.6
4	28	28	0	0	0	26	0	feature	OK	112.2
5	60	60	0	0	0	8	0	feature	OK	132.2
6	52	14	38	0	0	290	0	feature	OK	1967.6
7	30	30	0	0	0	30	0	feature	OK	154.5
8	4	4	0	0	0	3	0	feature	OK	24.0
9	77	77	0	0	0	114	0	feature	OK	1438.3
